Word,Most_Similar_Word
май,"[('апрель', 0.8788188099861145), ('февраль', 0.8743687272071838), ('ноябрь', 0.8666709661483765), ('октябрь', 0.864989161491394), ('декабрь', 0.855202317237854), ('январь', 0.8505667448043823), ('июнь', 0.842693567276001), ('март', 0.8332036137580872), ('сентябрь', 0.8205611705780029)]"
состояться,"[('пройти', 0.8456324934959412)]"
акция,[]
бессмертный,"[('полк', 0.9408268928527832)]"
полк,"[('бессмертный', 0.9408268928527832)]"
который,[]
принять,"[('принимать', 0.8362864255905151)]"
участие,[]
студент,[]
сотрудник,[]
два,[]
год,[]
ограничение,[]
пандемия,[]
долгожданный,"[('радостный', 0.8071677684783936)]"
шествие,[]
проходить,"[('проводиться', 0.8542108535766602), ('пройти', 0.8244869112968445)]"
традиционный,[]
формат,[]
время,[]
построение,[]
колонна,[]
корпус,[]
задавать,[]
настроение,[]
концертный,[]
программа,[]
звучать,[]
песня,"[('композиция', 0.8523280620574951)]"
военный,[]
исполнить,"[('спеть', 0.8516780734062195)]"
участник,[]
зритель,[]
узнавать,[]
горячо,[]
любимый,[]
подпевать,"[('аплодировать', 0.868348240852356), ('громко', 0.8528027534484863), ('танцевать', 0.8400707840919495), ('петь', 0.83103346824646), ('хлопать', 0.825659990310669), ('смеяться', 0.824891984462738), ('шутить', 0.8123364448547363), ('дружно', 0.8081225752830505)]"
дарить,[]
свой,[]
аплодисменты,"[('овация', 0.9181769490242004), ('бурный', 0.853962779045105), ('шквал', 0.8482496738433838), ('громкий', 0.8404678106307983), ('восторженный', 0.8376685380935669), ('буря', 0.8187840580940247)]"
вокальный,"[('хореографический', 0.8222938776016235), ('эстрадный', 0.8128780126571655), ('сольный', 0.8034412860870361)]"
номер,[]
перемежаться,"[('моноцикл', 0.8050608038902283)]"
танцевальный,[]
ансамбль,[]
современный,[]
хореография,[]
представить,[]
выступление,[]
отразить,[]
многонациональность,[]
культурный,[]
многообразие,[]
пересечение,[]
улица,[]
начало,[]
движение,[]
мелодичный,"[('плач', 0.9032280445098877), ('электрогитара', 0.9000959992408752), ('укулела', 0.8960220217704773), ('аккордеон', 0.8944106698036194), ('рояль', 0.8892847299575806), ('перебор', 0.8892042636871338), ('вуги', 0.8881206512451172), ('битбокс', 0.8834357261657715), ('акапельный', 0.8830950260162354), ('львёнок', 0.882744312286377)]"
звук,"[('флейта', 0.8405184745788574), ('рояль', 0.8367180228233337), ('лиричный', 0.8329402208328247), ('ритмичный', 0.8312546014785767), ('задорный', 0.8215369582176208), ('буг', 0.8201754093170166), ('нежный', 0.8191960453987122), ('голубой', 0.814069390296936), ('мелодия', 0.8139780163764954), ('заводной', 0.8139773011207581)]"
