Word,Most_Similar_Word
май,"[('апрель', 0.7346850037574768)]"
состояться,[]
акция,[]
бессмертный,"[('полк', 0.8441691398620605)]"
полк,"[('бессмертный', 0.844169020652771)]"
который,[]
принять,"[('участие', 0.7851893305778503)]"
участие,"[('принять', 0.7851892709732056)]"
студент,[]
сотрудник,[]
два,[]
год,[]
ограничение,[]
пандемия,[]
долгожданный,[]
шествие,[]
проходить,[]
традиционный,[]
формат,[]
время,[]
построение,[]
колонна,[]
корпус,[]
задавать,[]
настроение,[]
концертный,[]
программа,[]
звучать,[]
песня,"[('исполнить', 0.7004749178886414)]"
военный,[]
исполнить,"[('песня', 0.7004748582839966)]"
участник,[]
зритель,[]
узнавать,[]
горячо,[]
любимый,[]
подпевать,"[('подтанцовывать', 0.7234691381454468)]"
дарить,[]
свой,[]
аплодисменты,[]
вокальный,[]
номер,[]
перемежаться,[]
танцевальный,[]
ансамбль,[]
современный,"[('наноматериаловедение', 0.7121259570121765)]"
хореография,[]
представить,[]
выступление,[]
отразить,[]
многонациональность,[]
культурный,[]
многообразие,[]
пересечение,[]
улица,"[('дарлинг', 0.7197757959365845)]"
начало,[]
движение,[]
мелодичный,"[('перебор', 0.7843247056007385)]"
звук,[]
оркестр,[]
бережно,[]
нести,[]
портрет,[]
родственник,[]
приближать,[]
победа,[]
поле,[]
бой,[]
тыл,"[('труженик', 0.7115442752838135)]"
пасть,[]
герой,[]
великий,"[('война', 0.7537475228309631), ('отечественный', 0.7079921364784241)]"
отечественный,"[('великий', 0.7079920768737793)]"
война,"[('великий', 0.7537476420402527)]"
прадед,"[('дед', 0.7252616882324219)]"
дед,"[('мороз', 0.7706786394119263), ('прадед', 0.7252616882324219)]"
отвоевать,[]
мир,[]
следующий,[]
поколение,[]
человек,[]
делиться,[]
радость,[]
петь,[]
смуглянка,[]
синий,[]
платочек,[]
воодушевлённо,[]
кричать,[]
ура,[]
ректор,[]
проректор,[]
преподаватель,[]
отметить,"[('подчеркнуть', 0.7123481631278992)]"
особый,[]
энергетика,[]
полка,"[('игорев', 0.8050567507743835)]"
идея,[]
прийти,[]
сверху,"[('снизу', 0.7938355803489685)]"
снизу,"[('сверху', 0.7938355803489685)]"
полностью,[]
создать,[]
добровольный,[]
приходить,[]
воля,[]
эмоция,[]
посмотреть,[]
лицо,[]
радостный,[]
всё,[]
помнить,[]
наш,[]
уйти,[]
живой,[]
сердце,[]
день,[]
вместе,[]
слово,[]
российский,[]
солдат,[]
принимать,[]
спецоперация,[]
уверенный,[]
поднять,[]
боевой,[]
дух,[]
традиционно,[]
завершиться,[]
горожанин,[]
встречать,[]
свет,[]
концерт,[]
артист,[]
данные,[]
организатор,[]
прислать,[]
тысяча,[]
председатель,[]
поздравить,[]
летие,[]
поздравлять,[]
священный,"[('писание', 0.7782370448112488)]"
праздник,[]
быть,[]
тот,[]
отдать,[]
защищать,[]
забыть,[]
цена,[]
достаться,[]
подвиг,[]
ветеран,[]
освободить,"[('предводительство', 0.7161751389503479)]"
фашизм,[]
вечный,[]
пример,[]
желать,[]
здоровье,[]
сам,[]
добрый,[]
написать,[]
заместитель,"[('директор', 0.7281345129013062)]"
направить,[]
адрес,[]
поздравление,[]
сменять,[]
друг,[]
память,[]
вечно,[]
жить,[]
тяжёлый,[]
усилие,[]
щадить,[]
жизнь,[]
стойко,[]
вынести,[]
тягота,[]
дать,[]
отпор,[]
захватчик,[]
защитить,[]
дом,[]
ребёнок,[]
родный,[]
страна,"[('регион', 0.7048227787017822)]"
гордиться,[]
сила,[]
мужество,[]
преклоняться,[]
они,[]
долг,[]
хранить,[]
достойно,[]
продолжать,[]
традиция,[]
вести,[]
борьба,[]
любой,[]
проявление,[]
попытка,[]
искажение,[]
история,[]
работать,[]
достижение,[]
новый,[]
успех,[]
ради,[]
процветание,[]
благополучие,[]
говориться,[]
уважаемый,[]
университет,[]
коллега,[]
один,[]
важный,[]
событие,[]
каждый,[]
россиянин,[]
ассоциироваться,[]
горечь,[]
боль,[]
вернуться,[]
домой,[]
собираться,[]
возле,[]
обелиск,[]
канун,[]
испытывать,[]
чувство,[]
благодарность,"[('выразить', 0.7207193970680237)]"
завоевать,[]
ночь,[]
час,[]
минута,"[('сечь', 0.8145878314971924)]"
пройти,[]
июнь,[]
подписание,"[('соглашение', 0.7003428339958191)]"
акт,[]
безоговорочный,[]
капитуляция,[]
фашистский,[]
условие,[]
занятие,[]
прифронтовой,[]
научный,[]
лаборатория,[]
дежурить,[]
крыша,[]
помогать,[]
раненый,"[('ухаживать', 0.732122004032135)]"
свободный,[]
госпиталь,[]
город,[]
немало,[]
восстанавливать,[]
народный,[]
хозяйство,[]
оперировать,[]
оборона,[]
обеспечивать,[]
весь,"[('телекоманда', 0.7528342604637146)]"
необходимый,[]
ленинградец,[]
эвакуировать,[]
учиться,[]
учить,[]
несмотря,[]
чудовищный,"[('<unk>', 0.728801429271698), ('бизон', 0.7163225412368774)]"
истощение,[]
блокада,[]
кто,[]
вспоминать,[]
победный,[]
разделить,[]
слеза,[]
глаз,[]
провести,[]
митинг,[]
посвятить,[]
годовщина,[]
погибший,[]
собраться,[]
открыть,[]
торжественный,"[('церемония', 0.7616227269172668)]"
находиться,[]
преддверие,[]
главное,[]
государство,[]
хотеться,[]
искренний,[]
назад,[]
подарить,[]
свобода,[]
независимость,[]
воин,"[('интернационалист', 0.7648319602012634)]"
удаться,[]
повторить,[]
соотечественник,[]
земля,[]
место,"[('занять', 0.7339445948600769)]"
обратиться,[]
молодёжь,[]
призыв,[]
чтить,[]
великое,[]
прошлое,[]
позволять,[]
переписывать,[]
искажать,[]
реальный,[]
ход,[]
рассказать,[]
недавний,[]
разговор,[]
руководство,[]
поделиться,"[('впечатление', 0.7262174487113953)]"
информация,[]
обстоять,[]
дело,[]
вуз,[]
обстановка,[]
многие,[]
фронт,[]
выдержать,[]
передать,[]
такой,[]
мысль,[]
общеуниверситетский,[]
начаться,[]
запись,[]
доброволец,[]
первый,[]
месяц,[]
получить,[]
орден,[]
медаль,[]
памятник,[]
гранитный,"[('плита', 0.7708989977836609)]"
плита,"[('гранитный', 0.7708990573883057)]"
первоначально,[]
фамилия,"[('отчество', 0.7151673436164856)]"
нужно,[]
имя,[]
остаться,[]
навечно,[]
воспоминание,[]
детство,[]
член,[]
президиум,[]
относиться,[]
закончить,[]
класс,"[('мастер', 0.7754731178283691)]"
происходить,[]
мелочь,[]
голос,[]
передавать,[]
сводка,[]
пронзительный,[]
вставать,[]
огромный,[]
толпа,[]
беженец,[]
укреплять,[]
поддерживать,[]
моральный,[]
русский,[]
народ,[]
подчеркнуть,"[('отметить', 0.7123481035232544)]"
действие,[]
заведовать,"[('кафедра', 0.7727866768836975), ('доцент', 0.719206690788269)]"
кафедра,"[('доцент', 0.8259150981903076), ('заведовать', 0.7727866172790527)]"
мобилизационный,[]
подготовка,[]
здравоохранение,[]
медицина,[]
катастрофа,[]
сгма,[]
доцент,"[('кафедра', 0.8259150385856628), ('заведовать', 0.7192065119743347)]"
вызов,[]
рождать,[]
прогреметь,[]
последний,[]
залп,[]
героизм,[]
стойкость,[]
храбрость,[]
офицер,[]
высокий,[]
самоотдача,[]
труженик,"[('тыл', 0.7115442752838135)]"
студенческий,[]
приветствовать,[]
активистка,[]
студентка,[]
социологический,[]
факультет,"[('механико', 0.7176463603973389)]"
отделять,[]
чей,[]
честь,[]
монумент,[]
гордость,[]
часть,[]
представлять,[]
медсестра,[]
возводить,[]
оставаться,[]
храм,[]
наука,[]
молодой,[]
число,[]
патриотический,[]
расти,[]
рада,[]
осознавать,[]
важность,[]
сохранение,[]
молчание,[]
возложить,[]
цветок,[]
мемориал,[]
мероприятие,[]
продолжить,[]
подготовить,[]
продолжение,[]
территория,[]
кампус,[]
товарищеский,[]
футбольный,[]
матч,[]
спортсмен,[]
апрель,"[('май', 0.7346850037574768), ('март', 0.7105503082275391)]"
международный,[]
научно,[]
теоретический,[]
конференция,[]
право,[]
эволюция,[]
состояние,[]
перспектива,[]
развитие,[]
образование,[]
форум,[]
обсуждаться,[]
вопрос,[]
связанный,[]
характеристика,[]
тип,[]
особенность,[]
союзный,[]
федеративный,[]
отношение,[]
политический,[]
режим,[]
советский,[]
форма,[]
взаимодействие,[]
общество,[]
юридический,[]
другой,[]
конституционный,[]
муниципальный,[]
доклад,[]
институт,[]
обращение,[]
гражданин,[]
роль,[]
система,[]
контроль,[]
политико,[]
